"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 10:36:53 EEST 2023","Tue Aug 15 10:37:06 EEST 2023","12341","chromium","","US-1.11 Blocked account","","","C6182443 Check the functionality of the 'Polybank branches' hyperlink",""
"passed","Tue Aug 15 11:38:13 EEST 2023","Tue Aug 15 11:38:25 EEST 2023","11643","chromium","","US-1.1 Main page Info page & Footer","","","C6101951 Check the Email link leads to email URL.",""
"passed","Tue Aug 15 10:36:33 EEST 2023","Tue Aug 15 10:36:41 EEST 2023","8222","chromium","","US-1.1.1 Cookie popup","","","C6151759 Check the hyperlink 'Terms of Personal Data Processing and Cookies' leads to Terms of Personal Data Processing and Cookies page",""
"passed","Tue Aug 15 11:38:25 EEST 2023","Tue Aug 15 11:38:35 EEST 2023","9995","chromium","","US-1.2 Authorization","","","T36234916 Check the 'Forgot your password' button opens the 'Reset password' page",""
"passed","Tue Aug 15 11:36:40 EEST 2023","Tue Aug 15 11:36:51 EEST 2023","11203","chromium","","US-1.1 Main page Info page & Footer","","","C6116517 Check the 'Terms and conditions' text label",""
"passed","Tue Aug 15 11:36:55 EEST 2023","Tue Aug 15 11:37:05 EEST 2023","10269","chromium","","US-1.1 Main page Info page & Footer","","","C6101932 Check the 'Bank branches & ATMs' link in the footer opens the Bank branches & ATMs page",""
"passed","Tue Aug 15 11:36:02 EEST 2023","Tue Aug 15 11:36:09 EEST 2023","7165","chromium","","US-1.1 Main page Header","","","C5934825	Check the 'Bank branches & ATMs' text label & icon",""
"passed","Tue Aug 15 11:38:35 EEST 2023","Tue Aug 15 11:38:43 EEST 2023","7537","chromium","","US-1.2 Authorization","","","T36234920 Check the 'Sign up' button opens the Sign up page",""
"passed","Tue Aug 15 11:36:10 EEST 2023","Tue Aug 15 11:36:21 EEST 2023","11678","chromium","","US-1.1 Main page Header","","","C5934826	Check the 'Exchange rates' text label & icon",""
"passed","Tue Aug 15 10:36:39 EEST 2023","Tue Aug 15 10:36:51 EEST 2023","11250","chromium","","US-1.11 Blocked account","","","C6182440 Check the blocked account modal window appearance",""
